0	1
اگه من با خودم سردم	If I am not happy
مورچه چیه که کله پاچه اش چی باشه	You are far too insignificant to even think about such a thing!
دلشوره	anxiety, uneasiness, apprehension
خفت‌بار	humiliating
آدمفروش شادمهر	Shadmehr - Betrayer
جانانه	massive
غرولندو	scold
What have you brought on yourself?	چه بلایی سر خودت آوردی؟
بادش ميدهد	blows it/آن را باد می دهد
بستر سازی کردن	lay the groundwork
بوجار لنجان	time server
نیرو گرفتن	empowered by
اگر گربه بال داشت همۀ پرندگان را توی هوا می‌قاپید	If the cat had wings, it would choke all the birds in the air
طی آن	\according to which\
دور ایستا	standoff
مردمی	popular, public
پر نقش و نگار	ornate
از روی تمسخر گفتن	(to) say in a derisive/mocking/ridiculing way
پیش دستی کردن	to steal a march on sb
سر از جایی در آوردن	wind up somewhere
!نی نی شلوغکار	noisy little one!
موقعیتی	situational
روش	way/method
پَرِ‌کاهی	a stubble / a small straw
دهان به دهان گشتن	spread mouth to mouth
جا انداختن	miss
ارباب انواع	owners/masters of kinds/varieties
برهوت	wasteland
خنده‌اش گرفت	burst out laughing/burst into laughter
گویا	expressive
حوضچه آبگیری و آب اندازی شناور ها	boat/vessel docking and launching basin
شناور کروبوت و شناور تندرو	crew boat and high-speed vessel
کاغذکشی	crepe paper
در پس آن	behind it
به جان خریدن	willingly tolerate/put up with
راه را اشتباه رفته بود	had gone wrong (to go wrong)
جاگیر شدیم	Settled down
نازل شدن آیه	revelation of a verse
قلم	Reed Pen
منت نگذاشتن	not to lay under obligation/ not to confer an obligation upon somebody
جفت کردن پا	put one's feet together
حسابی	adj:good/real _ adv:really/liberally/well
دل خواستن	like, want, would like, desire
بالای تپه	top of the hill
در تاریک و روشن هوا	in the twilight
شایعه‌پر اکنیها	gossips
جام طلایی	Golden cup
همزمان با ولادت پربركت مولاي متقيان اميرالمومنين حضرت علي عليه السلام (ع ا	On the auspicious occasion of the birth of the lord of all the pious, Imam Ali (Peace be upon him),
پیش روی داشتن	to be going to face
نکته زیانباری	harmful point
هرچه باشد	after all
از خود	express more excitement
عمدتاً	mainly, chiefly, generally - مسیحی مصلحتی for \rice Christian\
به سخن آوردن	Makes the book speak
استناد	according to/with reference to
نازیدن	to glory
کلاه تقی سر نقی گذاشتن	to rob Peter to pay Paul.
بافت فرسوده	worn-out/time-worn textures
اولین کنفرانس بین المللی مطالعه ساخت و ساز شهری در مجاورت گسل های فعال	The First International Conference of Urban Construction in the Vicinity of Active Faults
سر را هم بود	I had another problem (in my way)
مشت با درفش زدن	doing sth in vain
پرستد مردگان را گه	idolize the dead people / worship the dead people
تهمتـــــــن	second to none in physical largeness and stature
نرم‌افزار	Software
انوشیروان	Anoushiravan
اکبره پیداش نشد	Hasn't this lad John turned up yet?
به باد کتک گرفتن	inflict a torrent of/ torrents of/a shower of blows on
راهکار	solution/method/practice
دور هرمنيوتيك - امتزاج افق ها	Hermenutical circle - Merger of horizons
تدوين برنامه نظام مند آموزش كاركنان واحد پذيرايي هتل هاي 5 ستاره	the compilation of systematic training program for the serivce personnel in five-star hotels
آب غوره گرفتن	To cry bitter tears
خبرسازترین حادثه فرهنگی	the biggest news-making cultural event
خلیفگی	caliphship, successorship, representation
محجوبه	covert
سلطنت	realm
گرایانه	-oriented
طراحی فرآیند آموزش نظام مند کارکنان هتل بر اساس استاندارد	designing a systematic process for training hotel staff according to the standards
zolf parishun	Disheveled / Wind blown hair
هریک با رویکردی متمایز	each one with its own distinct approach
صیرورت	becoming
وی‌یه	وی: he/she (or him/her)
نقطة عزیمت	departure point/starting point
متعاليه	transcendental
انفطار	dichotomy
حق ناودان	right of easement
اسقاط کافه خیارات	waiving all options
عرضه و اعیان	Land and Building
یک باب مغازه به مساحت بیست و پنج متر مربع بصورت سرقفلی .....اجاره داده می شود	A store, with [total] area of twenty five square meters, is leased ........for key-money
بر بر خورد	clash / struggle / confrontation / conflict with...
متعهد	committed / pledged
بپردازد	to condemn
chand ta kam dari	how many are you short?
واحدهاي تطبيقي شاخه نظري ضمن سال روزانه اول	units compared and accepted for the theoretical branch of grade-one yearlong daily courses
صوفیان بازاری	common sufis
موارد سکوت	lacuna / non liquet
نحلہ	school of thought
لقمان	Luqman
هِل	cardamom
چشمه از چشم‌بندها	an instance/some kind of legerdemain
یاقوت	ruby
the lid of a box	سرپوش/در/درب يك جعبه
خارج کردن	leave the arena
دانگ	one sixth of an immovable property
عباراتی	words , phrases
چاغاله	green fruit mostly green almond and apricot
خرد نردن	It must be a typo!
کنار	adjacent, close, side, some kind of hug
هرانچش	whatever had been removed reduced from him
کش	from him, from whom, from God
گویند کاه را می‌رباید	It is said to attract straw.
متوجه شدن	understand, find out
در ذات خدا	In God\'s Essence
میزان برداشت آب از سفره های زیر زمینی	the rate of groundwater storage depletion
ماشین آسفالت ریز	asphalt machine
نیم نگاهی به گذشته، چشم اندازی به آینده	A glance at the past, an overview of the future
سررسیدن	be over
به انتها	to the end
گشنمه	I\'m hungry
تیشه	Axe / Hatchet
کج‌بیل	hoe
پیش آوردن	express servitude and hubmleness:کفش کسی را پیش آوردن
هشدار	Alert / Warn
قلب تپنده خلیج فارس	The Beating Heart of the Persian Gulf
شرکت تعاونی	cooperative company
نوار دور درب	door (insulation) strip
میل فرمان جلو از جعبه تا سگدست	front steering rod from steering gear to axle pin/steering knuckle
بوش موجگیر	Baffle sleeve/bushing
بوش تعادل	balance bushing
بوش مندل	mandrel bushing
در بر گرفتن	to embrace, to include, to involve
همچنان	still
پایه ساز	foundation-maker
باستان شناختی	archeological
به عنوان پیش نیاز	As a prerequisite
مشابه هستند	they are similar
دوغاب	grout
مركز آموزش علمي-كاربردي شركت خدمات دريايي تايدواتر بندرانزلي	Bandar Anzali Tidewater Marine Services Co. Training Center for Applied Sciences and Technology
نازک دوزی	delicate sewing (job)
کاش تو زن من بودی ...عشق منی	I wish you were my wife...you're my love (sweetheart)
شعله ور سازد	set alight
ز باطن ابر گريان	a crying cloud on the inside
تو را پرستم	Thou I worship, (You I worship ) Look below for explanation
پرتوقع	overexpectant
توری پشه‌مند	mosquito-net
چون	because
doost dashti? goftam khastegit dar bere	Did you like it? I thought maybe you wanted to stretch out and relax, (get rid of your exhaustion)
هر رسمي كند آغاز	any tradition he begins/resorts to
شیوۀ مسیحی تربیت فرزندان	educating children according to christian values
پای	bring up (something/the subject of)
اصلا	at all
جرّ و بحث	long noisy argument
عطشی بیمارگونه به	a crazy passion for
بسراغم	Came to me; came to my sight; came into my mind
شهريزان	It is a proper name
گل نسرین	jonquil
پشتوانه	help, support, aid
بلوک نفتی دیر	Dayyer Oil/Petroleum Block
محاسبات عددی	Numerical Computation
مهندس مکانیک حرارت وسیالات	Mechanical Engineering, Heat and Fluids
va garnah	Otherwise
gozide-ye aayaat	Selection of verses
استاندارد اطمینان خاطر می آفریند	standards create assurance
هشتمین مسابقات فوتسال کشور	8th National Futsal Tournament
به نظر کافی میرسیدند	appeared to be enough/sufficient
در نرم‌افزار ای‌سورد	in eSword software
حیات داران	The Hayatis (a family name)
نوادگان درجه یک او	his immediate grandchildern
حق کشی	trampling on others' rights
تحولات	developments
صوات الله علیهم اجمعین	May God\'s peace be upon them all!
ولایت و امامت مولی الموحدین	guardianship and leadership of the lord of monotheists
در عین واقعیت مثلِ	while quite real
Migam toam kalato kachal kon	I tell you that you shave your head bald too
چند جا یکی دو نفر	here and there one or two
از اذان غروب اثر بهرام صادقی	From the ّsunset call to prayer by Bahram Sadeghi
رسید	reached/arrived/came to
آبخیزداری	Watershed Management
بیگانه پرستی	xenophilism
مدعیان ذکر رحمت حق	those having a claim to remembrance of God\'s mercy
بساط	trappings
کمکی چشمگیر می‌کند	helps significantly
مجسم ساختن	envisage
اتهام جعل عنوان	accusation of impersonation
داده	data, information
می‌پردازد	addresses, discusses, reviews
توی کدام باغ هسبی؟	are you with it?/you\'re not with it
taguti	طاغوتی
مرجع تقلید	source of emulation
درون بين	insightful/introspective
از آنطرف	on the other hand
یا لااقل	or at least
کثیرالانتشار	mass-circulation newspaper
ده کوره	the boondocks/the sticks
آهنگینش	rhythmic
خدا کنه	God willing, I hope
حراست دانشگاه	University Security Office of the University
نفري	25-person/member
حبس تعزیری	discretionary imprisonment
با اینحال	in spite of this, despite, notwithstanding, however, even though
دفترچه	(installment) payment coupon book
روزگار	time, days, era
گوئی زود در یافت	He seemed to have noticed it; he seemed as if he (had) noticed it
تاثیرپذیری	influenceability
سردفتر و دفتریار	Notary Public and Notary Public Assistant
اینو باش	check this/him out
نف	Subjective Adjective
بی معرفت	unappreciative
با توجه به	Given
نکند یا نکنه	(you/he/she) better not (have)
نرسیده به	before, prior, before you get to, before you arrrive at
چند نفر هستید؟	how many in your group/party?
اول خیابان	head of the street
فرهیخته	educated
سایاسان	Saymakh; to count, Sayasan, you count, value, an imported term from Azeri language into Farsi
آمار و نمودار تحليلي عملكردها	statistics and analytic graphs of functions
گروهک	group
سازوکارهای مردم سالاری،	democratic/democracy mechanisms
داریمیرم	daaram miram
کنکور	university entrance exam
horosht (?)	خورشت (khoresht)
تاریخ تأسیس مؤسسه علمی آزاد ارم	Date of Establishing Eram Open Academic Institute
كارنامه پژوهش هنر	Art Research Workbook
ز فرق فرنگان مشکین کلاه	with the heads of black-helmetd aliens
که از ضرب آن شد سر رخش خورد	whose strike shattered Rakhsh's head
جهان را به دریای خون کرد غرق	immersed the universe in a sea of blood
خرامان از آن دشتگاه نبرد، خرامش سوی لشکر شاه کرد	Stalking like a peacock, he strutted form the battlefield toward the King's army
بدینسان خروشان به شمشیر تیز، درآورد در خیل دشمن کریز	This way, using a sharp sword, he/she made the enemy's army escape
دویدند کردن زنان بی دریغ، بدان بدنهادان نهادند تیغ	Women ran earnestly and put the wicked to the sword
فوق توزیع	super distribution
جوی	atmosphere, space
پيش پا	before; in front of
جهاني شدن به معناي جهاني سازي،	Globalization as globalism
معرفت شناسانه	epistemological
تعامل گرايي	interactionism
به لقمان حکمت آموختن	teach your grandmother to suck eggs/to teach Pope how to pray
بچه سر راهی برداشتم پسرم بشه، شوهرم شد	I took the abandoned boy to be my son, but he became my husband.
تعلق خود	belonging
طرح دوفوریتی	double-urgency plan
خوشقد	well proportioned
مبارک نما ای عیسی	O Jesus, bless...
پارسا	from Pars, pious
در کل آرامتر	generally quieter/calmer/ more serene/ more placid
Gol e khandan keh nakhandad cheh konad...\?!	What can a luaghing flower do if it does not laugh?
با سنی بیشتر	of a higher age, older
فرا	ultra; super; above; over; cross; across
کلوخانداز را پاداش سنگ است	One who throws a clod deserves to be hit by a stone
نقاط آمادی	supply points
مرخصی بدون احتساب سنوات	Non-count periods of leave (of absence)
درس همنیاز	corequisite course
دوره پیش دانشگاهی	pre-university course
سرکار خانم مهندس ...،	Ms/Mrs .... (Eng.)
حالت سکون (مددت زمان توقف) دستگاه	idle, standby
نقش مقادیر سرعت در عملکرد دستگاه	the role of speed values in the performance of the ...
در نوار کناری و پائینی صفحات کاربردی دستگاه	in/on the side and bottom margins of the device guide(book)/application pages
مقادیر دستگاه در تعداد پران تاخیر رفت و برگشت	amount of the system in the number of ejector delay for reciprocation
به وضعیت دستگاه عدد میدهیم	we assign a number to the status of the system /apparatus
نقش شیب افزایش سرعت در موادگیری دستگاه	the role of slope's rising speed in material uptake of the system / apparatus
برایم به صورت عادت در آمده بود	they had become habits; they had turned into habits
از بس تکرار شده بود	because it was repeated so much/ so many times
درشت	large; big
خبر نگاران	reporters
عیب یابی این دستگاه سادست و به ... میخورد	troubleshooting this device is simple and....
خیالمون نسبت به قطعات کنترلی راحتر بشه	(may) our mind(s) be put at ease regarding the the control devices/parts
فکر افراد را به خود مشغول کرده	...has got people wondering (about)...
این دستگاه .... جوابشو پس داده	this device speaks/can speak for itself
ماشین آلات و تجهیزات استحصال مواد موثر	machinery and equipment for obtaining effective materials
روستای پاکستانی واه	the Pakistani village of Wah/Vah
ابری مه آلود	(a) foggy cloud
tou baziye sakhtemoun sazi vaghti mikham begam (yedoune tak bezar??)	Put one single (block)?
بررسی صلاحیت	investigating the qualification of ...
نمایندگان مخالف و موافق	supporting and opposing deputies
شومیزیه	chemisier
پاسخگویی در چیدمان راهبردی و مدیریتی نظام ها	responsiveness in strategic and manegerial arrangement (structure) of systems
استشهادیه	affidavit
دولت تحصیلدار/ رانتیر	rentier state
کشباف	knitted work
از ترکی او طه	From ethymon Aoteh (A Turkish word which 'otagh' or room in persian is derived from)
استاندارد سازی تاسیسات پذیرایی حاشیه راه ها	standardization of roadside rest facilities
ملحفه یکبار مصرف	disposable sheet
رشته مبانی و داس پیشرفته و برنامه نویسی	fundementals of DOS, Advanced DOS and programming
با مجوز رسمی از سازمان فنی و حرفه ای کشور	officially certified/licensed by the National Technical and Professional Organization/Association
نخواستم مصدق اوقات بشم.	I didn't like/want to trouble/disturb you.
احمدی نژاد	Ahmadison/MacAhmadi
ڪسِ گربه	cowrie/cowry shell
خیار غبن فاحش	option of gross fraud
Iran zamin	ایران زمین
Khoshgele Patyare	pretty bitch
دریافت پورسانت	receiving a percentage/commission
انجمن صنفی در نمایش محصولات	guild/union association in products display
عمده فروشی مواد اولیه	wholesaling of raw materials
تجهیز کارگاه ذوب شمش ریزی	equipping the ingot workshop
در باب همۀ اموری	on all the matters/affairs which ...
همكاران طرح	Project/Plan Partners
دوره کارشناسی ناپیوسته	discontinuous Undergraduate course; discontinuous BA course
the purification of the Persian language	خالص سازی/پاکسازی/ پالایش زبان فارسی
معرفی کردن	introduce; describe; explain; recommend
سند راهبردي	strategic document
baba - does baba just means father or are there any other meanings	1. dad, 2. grandfather, 3. a title for sages 4. guy, person (a disrespectful title), 5. man/dude
بناهاي سنگي كه بر پيكره خاك سايه مي افكنند	stone buildings casting their shadows on the earth
روزگاري كه مردمانش ايستاده اند در اوايل تاريخ	the era whose poeple are standing at the onset of the history
اساطيركهن را به گوش گهواره ها لالايي سر مي دهند	... lullabying anient myths to cradle ears
شببوي or شببو	Stock / Matthiola spp
دلچسب	charming, pleasing( the heart), lovely, attractive
!نامه يادتان نرود	Don't forget the letter(, please)!
تفهیم اتهام	explanation of the charge
نقشه کشی صنعتی	industrial drafting
جاى بقيه فاميل خالى	Wish(ing) the rest of the family were here.
kardan	do, work
چلو	Chelow or polow
naziiiiii and Jigar/jigaretooooo/jigari	You ar cute and sweet/sweetie/hon
در دو طرف برج کلاف شوند	Hank/fit into two supports at both ends/sides of the tower
محورهای مستقیم الخط میان	rectilinear axes between ...
رینگ سازه	rings of the structure
بلند مرتبه سازی	Highrise construction
به هیچ وجه مد نظ	by no means to have in mind
تبلیغات گسترده	widespread/extensive propaganda/advertising
fargi nemikone	it doesn`t make a/any difference
khoshhal misham bishtar bahatun ashna besham shomare mobaile man	I'd like to know more about you. My cell phone number...
برنامه ريزي توسعه شهري	urban development planning
قتل غیرعمد	manslaughter
جایگاه متهم	Dock
طرح هاي تفضيلي و پژوهشي	detailed and research (development) plans/sketches
اجراي پروژه و طرح هاي مطالعاتي	execution/implementation of project and study plans
بدنه و سيماي شهر در عمران شهري بسيار مهم است	In urban development, the framework and appearance of the city are very important.
طرح هاي بالا دست شهري	urban upstream plans/projects
كلان شهر	megalopolis
گردشکار	procedure
حسب ارجاع	upon my referral
صدور قرار تامین دلیل	issuance of a writ for evidence gathering
miry miry peidat nemisheh	long time no see!
امکانسنجی ایجاد تعاونی های گردشگری در ایران	A feasibility study for tourism cooperatives in Iran
آيين نامه اجرايي ارزيابي مناقصه گران	executive guidelines/procedures for bidder evaluation
هيئت ترك تشريفات مناقصه ومزايده	Bids and tenders exemption/exception committee
تجهیزات جانبی	accessories/ancillaries/peripheral equipment
در آستانه برگزاری ...	which are about to be held
ارائه مشاوره و خدمات فنی	Providing consultation and technical support/services
گرایش .... فرایندهای تولید	Subdiscipline.... Production processes
بوي خوشي را استشمام كردم	I got a whiff of a lovely aroma/ smell
تمرکز و عدم تمرکز	centralisation and decentralisation
ارزیابی عملکرد	Performance assessment/evaluation
مركز اطلاع رساني	Information Center
برای ایفاء تعهد به نرخ موضوع تعهد ایفاء نشده	for the fulfillment of the obligation at the rate specified in the unfulfilled obligation
will have developed some understanding of the opportunity space	به درکی از فرصت موجود برای ... دست خواهند یافت.
The resource view	منظر منابع
relevant knowledge possessed by others	دانشی که دیگران در این زمینه دارند
confers competitive advantage and the potential for sustainability	مزیت رقابتی و پایداری بالقوه را به همراه دارد
امکان سنجی اکوتوریسم روستایی از طریق تعاونی های روستایی	a feasibility study of rural ecotourism through rural cooperatives
dokhtaraye Irooni	Iranian girls
گیاه پیوندی	engrafted plant
حساب ارزی	Foreign currency account
باعث افتخار من هست که	I have the honor to/of....
مع اواسطه به موجب سند قطعی	with intermediaries based on the final document
حق عبور از مورد ثبت گواهیی می شود	This is to certify the right of transit on/across the registered item/issue/case
کف برروی عرصه و مشمول قانون بوده	The floor area shall be within the building line and subject to the said law/restrictions
گواهی پایان کار	Construction Completion Certificate
با مطالعه پرونده ثبتی پلاک مورد تقاضا	Having reviewed/studied the registration file of the lot under application
پی به پی	foundation to the foundation
صورت مجلس تفکیکی پلاک ثبتی	minutes/proceedings of the seperation of the registered lot
چشمان آبي رنگش به رنگ آبي گلها بود	Her blue-colored eyes were the blue color of flowers.
نانوا هم جوش شیرین می زند!	the baker is anxious about his sweetheart too
Have a nice day sweetheart!	Rooze khoobi dAshte bAshi eshgh-e man!
ارتباطات تصویری	Visual communications
تسویه حساب منوط به تحویل اصل این مدرک است	settling the account is contingent on the delivery of the original of this document
گاهنامه	irregular periodical
customs	گمرک
استفاده از تراکم ساختمان همجوار	using the density of the adjacent building
مراتب فرماندهی	command hierarchy/echelon
Vaghti Baroon Mizane	When the rain hits...
'english to farsi' and 'english to persian'	آنگلیسی به فارسی
مقاومت سنج	resistance gauge/ meter
گرگ و میش	dusk; twilight
بخش سنگ شکن	crushing department/plant
آزمایشگاه شابلون سازی	screen printing laboratory
کلیه امورمربوط به نقل و انتقال را عهده دار شوند	to undertake all affairs concerning the movements
واگذاری امور به مسولان و متولیان	leaving the affairs to authorities and administrators
اردوهای تدارکاتی	preparatory camps
اعتبار آن پيشتر به روش آلفای کرونباخ 86 صدم محاسبه شده بود.	its reliability had (already) been calculated as 0.86 by Cronbach's α (alpha) measure
اعزام شده به مسابقات ورزشی به ميزبانی استان گيلان	dispatched to the sports competitions hosted by Gilan province
شرکت کنندة فعال،شرکت کنندة غيرفعال	Active participant, inactive participant
مسابقات ورزشی که در نقاط مختلف کشور برگزار می شود	Sports events held/convened througout the country/in various parts of the country
بازاريابان و سازمان دهندگان رويدادهای ورزشی	Sports events organizers and marketers
سربار	A burden on your shoulders
شسکت	شکست
خسته نباشيد	Keep up the good work
بازساري بافت هاي فرسوده شهري	the reconstruction of worn-out/time-worn urban textures
فضا شفاف و آشکار باشد	Should the space be clear and open?
تکه های مو	locks of hair
روی موها و زیر موها	the top and bottom of hair
تقسیم بندی چهار تایی	fourfold partitioning
جواز تاسیس آموزشگاه آرایش و پیرایش	license to establish a hairdressing and beauty school
متعادل سازی چهره و پوست	face  skin balancing
مربی آرایشگری	beauty instructor
کامفولاژ	camouflage
tourism	tourism
قلم کاشت ناخن	nail inserter
معاون فنی و بهره برداری	technical and exploitation deputy manager
مسئول امور حقوقی	in charge of legislative affairs
شهرک	Development
felez yab... ganj yab...	metal detector
معارف اسلامی1	Islamic studies (I)
متون اسلامی	Islamic Literature
تربیت بدنی	physical education
زبان تخصصی	Specialized Language
آیین نامه اجرایی	executive bylaw
برگ معملات نیم برگی	Transaction Sheet (Short Form)
یک بار امتحان کافیه	Once you try it...
شهرستان	city/town
I WANT TO KNOW THE TRANSLATION OF KALANTARI AND DIPLOM VAZIFE	police station/high-shool graduate conscript
خطوط حامل	Stave; staff
ارفاقي	supplemental/bonus/extra
رسته	Category
گروه	grade/grade level/grade code
حكم اجراي قانون مديريت خدمات كشوري	State Services Management law enforcement order
متبوع	respective
کفشهات لنگه به لنگه است !	Your shoes are ill-matched!
عکس باید تمام رخ و با زمینه سفید باشد	The photo should be full face, and in a white background
خدایا تو آنی که میدانی	O Lord, thou art that which/what/whom thou knowest
به چه اوج ها که نمی رسیدم	What heights I would have reached
سی دی خش داره !	The CD is scratched!
فارغل التحصیلی 15 دوره دانشجوی دریانوردی	graduation of 15 batches of maritime students
مدیریت بیمه شخص ثالث وسایط نقلیه	Third Party Insurance Administration
آمریت بیمه موتر	Auto Insurance Department/ Office of Auto Insurance
خودکفایی	self-sufficiency
قضاوت جمعي	Pooled judgment
Rasti, khers-e Maisa chetore?	Anyway, how is Maisa`s bear?
یا به اندازه آرزویت تلاش کن و یا به اندازه تلاشت آرزو کن	Either try as hard as you wish or wish as hard as you try.
khalesane	genuine
دستگاه ساخت پیچ و مهره	Tap and Die,
دستگاه آسیاب لاستیک	tire grinder
khosh zire del zadan	to become full of oneself/to have too much of a good thing
فروش بدون نسخه پزشک ممنوع است	Subject to medical prescription
Joon marker after Persian last name	dear/sweetheart
khayli awkward bood. faghat man tanha boodam ba Ryan	It was so awkward. It was only Ryan and me there/Only Ryan and I were alone.
درخت سمر	samar tree
pu:shi:dan or bu:shi:dan	pu:shi:dan (پوشیدن)
دستور نگارش	principles of writing
کشوری را تیول خود کرده اند	They have turned the country into their personal fiefdom
zamon	In Azeri and Uzbk turkish: زمان، دورانTime, duration
افتادگی شانه	Thoracic Outlet Syndrome
وجه بهر مبلغ و بهر مدت و بهر میزان بهره	Funds of any amount, any period and any interest rate
آب شکن	cutwater
فیزیک حرارت	Thermal Physics
شرکت تعاونی کشاورزی تامین نیاز دامداران سیدان	Seyyedan Agricultural Cooperative for Providing Stockbreeders' Needs
عبور از مد	Crossing the high tide!
bolandgoo	bullhorn, megaphone
شرایط ضمن عقد یا عقد خارج لازم	conditions stipulated in marriage certificate, /through a separate binding contract
مبایعه نامه	Purchase and Sale contract/agreement
قیاس مع الفارق	comparison of incommensurables
آینه آمار	mirror of statistics
عطای آن را به لقایش بخشیدند	They abandoned the attempt
آتیش گرفته بود	had been driven mad, had been rendered crazy
سگرمه اش تو هم رفت	frowned
خونم به جوش آمد	I boiled with rage/anger
دل کسی خون شدن	To be afflicted by sorrow
جگرم سوخت	to be moved with compassion
دلخور شدن	to be annoyed
دل چرکین	hold/nurse a grudge
خاک به سر شدن	To become bereaved
دل توی دلش نیست	she has butterflies in her stomach
سرتیپ پاسدار	brigadier general, brigadier
راهنمای و رانندگی	traffic
نیروی انتظامی	Islamic Republic of Iran Police
دل دادن و قلوه گرفتن	Having a lovey dovey chat
دلم کباب شد	I felt for him/her, I took pity on him/her. I felt empathy for him her
. خون خونشان را می خورد	Their blood was boiling.
خون جلوی چشمانش را گرفته است	He or she was blind with rage
مثل مرغ سر کنده امMesle Morghe sar kandeh am	I am like a chicken with its head cut off
Delam mesle siro serke mijosheدلم مثل سیر و سرکه میجوشه	I have butterflies in my stomach
ماده حاجب	Contrast agent
موافقت اصولی	Agreement in-principle
تکانش گری	Impulsivity
markaze roshd	center for development/development center
projeye tose eye karbordi	Applied development project
nashriyeye daneshgahi	university publication/newsletter
markaze nazarie pardazie eslami	Islamic Theorization Center
مطالعات بنیادی	Fundamental Studies
Chahar sahmeh mosha az yek-sad sahmeh yekdangeh mosha	Four shares held in common out of one hundred undivided shares of one sixth of the whole property
daftare karafarini va estedadhaye derakhshan	Office of Job Creation and Exceptional Talents
نمره نهایی با ضریب 2	Final Score X 2
مدیر اموزشی و تحصیلات تکمیلی دانشگاه	Education and postgraduate administrator
اداره کل اموزش دانشگاه	General Department/Office of Academic Affairs
رئیس کل دانشکده پزشکی	Dean of Medical Faculty
مسؤل فارغ التحصیلی	Administrator of Graduation Affairs
نمره بعدد	score in numbers
امتیاز	Point(s)
نمره بحروف	grade (in letters)
دوره علوم پایه	Fundamental Sciences course
مورد تائید میباشد	is certified
فرزند	son, daughter
بسمه تعالى	In His Exalted (Allah’s) Name
قوانين جذبي	incentive regulations
فضاسازي هاي يك سويه	creation of/creating one-sided climates
دويچه وله	Deutsche Welle
ضریب همبستگی پیرسون	Pearson's correlation coefficient
مقیاس فازی	Fuzzy Logic, Fuzzy Measure
در میان اقشار مردم	Layers, strata
ﺸﻮﺮﺖ ﺘﻭﺪﻮﺯﻯ ﺸﺪﻩ	panty/brief with crotch liner
آنتن دهي	reception
در فراخوان کنفرانس آمده است	In the call for the conference, it says/is stated:
پادمان	work
شورای حکام آژانس اتمی	The congress of IAEA rulers or the board of IAEA rulers
ریاست طلبی	power seeking / in quest of power/leadership
mohandesie Saze	Structural engineering
باز/بسته بودن مدار,کلید	switch contacts/circuit being open/closed
قطع کردن رله	Relay trip
با دقت24 بیت	with precision of 24 bit
کلید فشاری	push-button or pushbutton
کلید تبدیل	conversion switch/button
ترمینال /ترانزیستور دوپایه	Two-legged transistor/terminal
سازمان تعزيرات حكومتي	Governmental Discretionary Punishments Organization
فصلنامه	Quarterly
اداره بهزیستی	(State) Welfare Organization
سال دوم راهنمایی	7th grade (of primary/grammar/elementary school)
شيء وارگي كالا	commodity fetishism
شيء وارگي كالا	objectification of goods/commodities
کتاب در وزن مثنوی سروده شده	The book is composed in Rhyming Couplets
بحر متقارب...	The metrical pattern of motaghareb (sea proximity)
بحر متقارب	Convergent poetcial measure/metre, Convergent type of poetcial measure/metre
بیاض های سخنوری	blank-books for/of eloquence, notebooks for/of oratory,notebooks of eloquent writing
سرودواره	quasianthem, anthemlike, hymnlike,chantlike
Elme harkate Ajsam zire ab	Hydrodynamics
واحد مرکزی خبر	Central News Unit
قره برون	Acipenser persicus (also known as Persian Sturgeon)
سزارين	Cesarean (Surgery)
قرص هاي روانگردان	psychotropic or psychoactive (pills or capsules)
يک فقره چک	a check
khiali negary	Tea-house / Imaginary painting
مداربندی آزمایشی	Breadboarding
نرم افزار	software application/program
تنش	Tension
آرمانشهرگرايي	Utopianism
پيامدها	Outcomes
ديري نپاييد	did not last long
پراش	diffraction
ازخود بیگانگی	Self-Alienation
دکترای افتخاری	Honorary Doctorate (program/degree)
نادقیق سازی داده ها	Data Fuzzification
الگوریتم آزمند	Greedy Algorithm
چشم خمار	languished eye(s)
Serendip	سرندیپ
ﺗﺷﺗﻚ	bottle cap
کرانه نگاری مواج	Moire Contourography
حوزه همگرایی	Convergence feild
فرض متصله	Continuum Hypothesis
be kam ghane boodan	be happy with what one has, contentment
الاکلنگ تاخیری	Delay Flip-Flop
تخلیه ی هاله ای	Corona Discharge
arezooye kham	A vain wish
vasvaseye sheitani	satanic temptation, Satan's temptation
تصویربرداری به روش پویش شکافی	Slit Scan Photography
تغذیه چرخ دنده ای	Tractor Feed
تابع اختلال	Perturbation Function
تابع یکنوا	Monotonic Function / Monotone Function
Divare Shabam Shekaste Az To Az Zolmate Shab Nemiharasam	My night's wall is broken because of you, No longer am I afraid of the night's darkness.
mabada dorughi	I hope you are not going to lie.
ghahr ta rooze ghiamat	I'm never gonna speak to you again!
ساماندهی	organization,order,regulation
Nemidonam manzoret chieh	I don't know what you mean/I don't know what your intention is.
خفانیده	Throttled
سرمایش عمیق	Cryogenics
ضد کف غیر سیلیکونی	Non-silicone based defoamer / Silicone-free anti-foam
ماده تثبیت کننده	Passivating Agent
bishin binim baba	Don't pull my leg, will you?
چربیگیر قلیایی	Alkaline Degreaser
karshenasi peyvasteh /napayvasteh	Continuous/Discontinuous BA/BSc Course
تپ اختر	Pulsar
لجن زدایی در حوضچه های تصفیه آب	Sludge conditioning/removal in water treatment pools
دیگ چگالنده	condensing boiler
فروش فلّه ای	bulk sale
قطبیت نمایی	Polariscopy
تسمه لایی	Spacer Strip
میان لایه ی رسی	clay interlayers
دقایق و ظرایف	precision and subtlety
پلیسه گیر دستی	Manual Deburring Tool
جوشکاری ضربه ای	Percussive Welding
